Lap,Lewis Hamilton,Valtteri Bottas,Sebastian Vettel,Kimi Raikkonen,Daniel Ricciardo,Max Verstappen,Sergio Perez,Esteban Ocon,Lance Stroll,Sergey Sirotkin,Nico Hulkenberg,Carlos Sainz Jnr,Pierre Gasly,Brendon Hartley,Romain Grosjean,Kevin Magnussen,Fernando Alonso,Stoffel Vandoorne,Marcus Ericsson,Charles Leclerc
1,84.169,87.855,86.511,89.144,85.456,83.044,94.212,96.27,95.073,95.808,89.609,88.61,96.516,99.18,96.83,95.478,94.715,97.424,93.592,91.389
2,81.225,82.541,81.799,82.058,81.553,80.959,84.416,106.839,85.715,86.893,83.422,83.83,86.566,101.496,87.651,86.054,85.044,86.274,84.159,83.965
3,81.62,82.039,82.42,82.306,81.694,81.091,84.078,82.749,84.314,84.854,83.641,83.398,84.876,83.31,84.711,84.144,84.197,84.867,84.123,83.624
4,81.363,81.987,81.959,82.416,81.369,81.162,83.975,92.107,84.567,86.956,82.839,82.891,87.707,89.459,85.891,84.985,,84.427,83.708,83.359
5,99.795,99.911,99.698,100.29,99.891,98.701,100.916,92.097,101.542,101.863,101.471,101.334,104.408,95.404,102.593,102.566,,102.308,100.775,101.425
6,82.315,82.281,82.285,81.727,82.074,83.465,83.545,82.629,83.29,84.254,83.009,82.386,102.148,82.528,83.701,83.307,,83.545,83.925,83.341
7,80.995,82.65,81.918,82.305,81.322,81.177,84.256,82.89,83.678,84.033,83.294,83.136,83.375,82.847,83.935,83.303,,83.549,84.167,83.75
8,81.53,82.572,81.872,82.801,81.609,80.923,84.826,83.142,84.21,84.385,83.574,83.611,83.413,83.083,84.447,83.592,,83.756,84.898,83.531
9,82.232,83.042,82.007,83.088,81.878,81.249,84.762,83.359,84.958,84.64,84.074,83.85,82.896,83.403,84.756,84.422,,83.988,84.855,84.493
10,83.13,83.308,82.024,83.775,82.51,81.634,85.542,83.641,90.579,85.317,84.722,84.052,83.01,83.851,85.161,84.403,,85.109,85.817,85.654
11,86.983,86.778,82.495,84.314,83.433,82.291,87.347,84.13,104.755,89.982,84.845,87.476,83.113,84.449,84.336,86.475,,84.899,87.202,85.372
12,98.647,100.541,82.641,83.446,85.232,82.692,86.658,84.912,83.632,103.491,87.832,102.416,83.483,84.741,85.301,86.394,,89.055,86.626,85.636
13,81.341,81.236,82.5,83.142,100.006,85.704,86.389,84.827,83.573,83.374,103.544,84.847,83.583,84.708,84.907,86.565,,101.02,86.561,88.335
14,81.855,81.571,82.05,84.026,81.623,100.948,83.633,84.849,84.297,83.177,84.108,85.705,83.961,84.674,85.572,87.185,,81.921,86.826,101.537
15,82.407,81.61,82.158,84.094,81.004,80.299,83.974,84.839,84.544,83.435,84.286,83.846,83.974,85.106,86.407,86.404,,83.366,86.754,84.322
16,83.146,81.68,82.127,83.219,82.555,80.919,83.583,85.986,83.852,83.728,84.292,83.75,83.699,85.35,86.031,86.209,,82.873,90.32,84.135
17,81.426,81.323,85.551,89.23,82.196,80.66,83.753,85.247,83.822,83.857,84.38,84.139,84.426,86.038,85.428,84.143,,83.65,109.978,84.03
18,81.303,82.516,99.705,100.087,82.491,80.431,84.046,85.347,83.94,84.024,84.103,84.302,85.302,85.603,86.603,84.903,,84.827,82.44,85.279
19,81.976,81.655,81.076,80.334,81.94,81.373,84.465,85.79,84.29,84.339,84.457,84.41,85.667,85.623,85.509,85.102,,85.672,84.597,85.319
20,81.846,81.748,81.142,80.72,81.81,81.607,84.054,85.349,84.684,84.301,84.116,84.557,85.31,85.396,85.313,85.076,,85.53,83.468,85.191
21,81.465,81.481,81.128,80.711,81.544,81.403,84.332,85.146,85.33,84.561,84.546,83.819,85.359,85.108,85.158,85.175,,85.261,82.891,84.548
22,81.573,81.358,81,81.108,81.289,81.265,84.701,85.106,85.058,85.309,84.61,84.985,85.494,84.913,84.503,84.877,,85.224,83.535,84.356
23,81.511,81.554,80.757,81.062,81.034,81.17,84.538,85.075,88.653,86.521,84.68,84.205,84.973,85.038,84.586,84.509,,85.424,83.763,84.04
24,81.832,81.415,81.287,81.295,81.455,81.612,84.664,85.407,102.627,84.717,84.692,84.793,86.412,88.589,84.97,84.692,,85.963,87.166,83.64
25,81.032,81.764,81.615,81.586,81.399,82.346,84.903,84.765,83.276,85.845,84.436,84.983,85.709,102.988,86.048,86.124,,83.626,83.461,84.417
26,81.85,81.788,81.74,81.482,81.74,81.065,84.37,84.221,83.001,87.664,84.585,85.192,88.164,82.438,84.393,87.068,,83.976,83.879,86.436
27,82.097,82.426,82.101,80.908,81.945,80.87,84.798,84.247,82.983,84.567,84.475,84.577,103.917,82.473,84.641,85.005,,84.337,85.643,84.924
28,81.808,82.101,81.728,81.248,82.169,80.898,84.284,85.734,84.845,86.26,85.944,84.139,84.063,82.901,86.64,84.68,,87.095,83.624,84.632
29,81.827,81.591,82.352,81.653,82.823,81.68,83.837,86.403,88.689,89.859,83.578,,92.433,88.753,86.466,86.756,,84.817,88.789,84.453
30,82.658,85.026,82.936,87.438,82.937,82.083,109.679,114.369,109.564,110.352,104.761,,110.969,109.665,112.575,111.782,,112.135,109.91,107.478
31,109.406,110.213,112.589,109.7,112.689,104.739,123.872,112.39,97.997,100.584,109.246,,95.224,99.034,104.208,105.41,,103.764,99.231,107.364
32,104.947,101.689,102.308,98.514,101.697,108.215,84.174,83.785,84.618,87.661,83.756,,83.926,84.55,85.935,84.241,,86.036,85.545,86.22
33,81.86,81.894,82.087,81.468,82.67,82.946,87.025,83.701,83.822,85.73,83.797,,84.473,83.839,86.582,86.01,,83.412,83.724,87.017
34,81.7,81.64,81.308,81.601,83.403,81.459,84.442,84.463,83.664,84.359,83.462,,84.586,84.276,85.065,84.627,,83.73,84.279,86.456
35,81.37,82.416,80.856,81.024,82.868,81.495,84.451,83.648,83.556,84.271,83.948,,83.969,83.877,84.547,85.44,,84.955,83.683,85.798
36,81.766,81.485,80.745,81.421,82.57,81.137,86.225,84.634,83.944,85.078,87.906,,85.491,84.217,85.131,84.585,,84.793,84.351,84.637
37,82.063,81.675,81.069,83.072,81.808,81.655,87.517,84.496,84.511,84.697,83.885,,83.728,84.628,84.935,85.482,,85.081,84.412,85.014
38,81.829,82.082,81.144,81.851,81.531,81.316,102.831,85.991,85.993,84.692,86.363,,83.923,86.617,85.297,84.689,,85.153,86.516,84.171
39,83.743,82.769,80.516,81.461,81.723,80.641,,84.646,85.477,84.598,86.244,,83.475,84.33,84.878,84.362,,84.558,84.293,84.747
40,81.909,81.58,80.386,81.222,81.027,81.025,,84.602,84.785,84.504,86.423,,83.89,84.492,84.84,84.539,,84.654,84.514,85.269
41,81.858,81.74,80.263,81.744,80.735,80.851,,84.55,84.469,84.855,84.158,,83.922,84.604,84.777,85.009,,84.832,84.597,85.124
42,81.794,82.2,80.26,81.234,80.888,80.768,,84.828,84.341,84.574,83.878,,84.069,84.599,84.659,85.06,,84.918,84.688,84.714
43,81.986,82.108,80.112,81.373,81.199,80.863,,84.684,84.845,84.383,85.273,,84.014,84.785,85.443,88.053,,85.161,84.555,84.662
44,81.83,81.921,80.138,80.948,81.011,80.386,,84.982,84.833,84.297,84.634,,83.421,85.392,89.904,101.53,,84.113,84.085,84.591
45,82.418,82.191,80.338,81.824,82.444,80.572,,83.801,84.396,87.061,84.812,,84.742,83.405,99.695,81.874,,84.033,84.545,84.312
46,82.03,82.25,80.403,80.915,81.79,81.023,,85.649,85.266,84.313,83.87,,83.893,84.355,81.37,82.77,,84.412,84.463,85.003
47,87.13,82.103,83.939,81.773,81.035,81.391,,84.051,84.15,84.025,84.162,,83.698,84.483,81.948,83.505,,84.44,84.478,84.692
48,100.476,90.063,97.226,80.85,80.766,84.301,,83.842,84.13,85.666,84.079,,83.098,84.45,82.672,85.849,,84.612,84.23,84.791
49,80.728,102.285,79.522,81.107,80.913,98.058,,84.5,85.598,86.849,85.987,,83.63,84.205,84.217,82.848,,84.462,84.414,84.204
50,81.426,81.749,80.343,81.357,81.085,80.173,,84.451,84.314,84.781,83.886,,83.553,84.39,86.075,84.914,,84.419,84.177,84.758
51,80.816,81.678,80.409,81.155,80.723,80.69,,84.884,85.903,86.34,83.457,,85.826,84.407,85.146,84.095,,84.457,84.35,84.437
52,80.79,81.886,80.967,81.126,81.442,80.434,,85.161,85.425,84.252,83.787,,84.083,85.419,84.355,86.32,,84.266,84.786,84.291
53,81.194,81.794,81.547,81.255,80.873,81.256,,87.029,84.46,84.193,83.581,,83.32,84.39,86.192,83.451,,83.82,85.209,83.864
54,82.295,81.669,80.966,80.905,81.216,81.657,,84.703,84.152,85.773,83.361,,85.232,87.737,84.305,83.973,,85.131,84.466,84.619
55,81.992,82.011,80.78,81.413,81.782,79.738,,84.634,84.328,83.497,83.292,,84.203,84.421,84.205,85.869,,83.821,85.675,83.253
56,82.242,82.803,81.159,81.4,81.445,80.786,,86.172,86.164,83.734,83.239,,84.11,84.694,84.18,84.433,,86.22,84.56,83.063
57,82.962,83.04,79.851,81.358,79.462,79.564,,84.332,84.383,84.332,83.38,,83.97,85.391,84.756,84.883,,83.475,84.501,86.671
58,82.591,83.193,81.573,82.307,80.536,79.747,,84.705,84.813,84.333,83.086,,86.6,84.96,85.035,85.385,,83.549,84.804,82.679
59,83.13,84.052,80.264,82.261,80.78,79.749,,84.93,85.113,84.719,84.813,,84.248,84.39,85.531,85.294,,83.449,85.498,82.923
60,83.09,84.462,80.195,83.7,80.327,79.795,,107.031,107.461,107.915,94.52,,105.68,105.982,113.751,108.182,,102.486,106.43,99.35
61,83.746,91.735,80.787,82.585,80.37,80.099,,100.705,100.656,100.169,111.281,,103.71,103.588,109.556,99.658,,107.251,103.467,108.788
62,113.241,113.517,98.751,106.043,,91.178,,84.04,84.493,83.669,86.204,,84.262,85.399,82.196,83.68,,83.399,84.187,81.733
63,94.778,100.226,109.665,103.641,,111.497,,83.523,83.956,83.827,83.936,,83.515,83.746,82.166,83.984,,82.567,83.194,81.138
64,83,79.331,80.003,81.927,,85.065,,83.358,84.086,84.072,81.616,,83.181,83.454,81.438,84.172,,82.435,83.002,81.25
65,83.185,78.741,79.763,81.039,,79.527,,83.544,83.671,83.242,83.619,,83.509,83.56,82.012,86.501,,82.78,83.364,82.077
66,83.072,80.459,79.835,81.393,,79.186,,83.5,83.204,82.64,80.991,,83.467,83.525,81.613,86.745,,83.054,83.355,80.951
67,82.696,80.062,80.15,80.892,,80.081,,83.433,83.233,82.895,80.637,,83.004,83.523,82.302,84.436,,82.79,83.097,80.537
68,82.77,80.383,80.046,81.671,,79.796,,83.382,83.525,83.209,80.748,,82.756,83.473,85.082,84.005,,85.723,82.823,80.684
69,82.351,81.75,79.978,82.256,,79.983,,83.39,83.745,83.487,81.536,,82.755,83.694,,84.482,,83.036,82.895,81.879
70,82.694,83.257,80.951,81.745,,80.242,,,,,,,,,,,,,,
71,85.728,,82.393,83.221,,81.046,,,,,,,,,,,,,,,